block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0015794000000823871,0.010887899999943329,0.010887899999943329,1.0383664999999382,space,1.020632900000237,None,,,,,,,,,,,,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,1,faces/unknown/unknown_205.jpg,unknown,0,0,0,None,,,0,0,0,0,1.0444689999994807,,,,,,,,,1.042831899999328,2.035417000000052,2.997725199999877,2.9597252999992634,2.987074399999983,2.997725199999877,2.997725199999877,0.027362900000298396,1.023971900000106,4.959845999999743,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,2,faces/unknown/unknown_34.jpg,unknown,1,1,0,None,,,0,1,1,1,4.967956399999821,,,,,,,,,4.959973799999716,5.952991299999667,6.9011782999996285,6.871573499999613,6.89830129999973,6.9011782999996285,6.9011782999996285,0.0267812000001868,1.0149682000001121,8.874500799999623,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,3,faces/unknown/unknown_97.jpg,unknown,2,2,0,None,,,0,2,2,2,8.880274199999803,,,,,,,,,8.874621099999786,9.862088899999435,10.807009899999684,10.77777049999986,10.80419989999973,10.807009899999684,10.807009899999684,0.026453800000126648,1.0116709000003539,12.786329799999294,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,4,faces/unknown/unknown_181.jpg,unknown,3,3,0,None,,,0,3,3,3,12.789563399999679,,,,,,,,,12.786443799999688,13.771250299999338,14.633558199999243,14.601893799999743,14.631114299999354,14.633558199999243,14.633558199999243,0.0292276000000129,1.0149303999996846,16.607902199999444,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,5,faces/unknown/unknown_208.jpg,unknown,4,4,0,None,,,0,4,4,4,16.616895699999986,,,,,,,,,16.60801469999933,17.589492699999937,18.387522799999715,18.359375899999577,18.385336299999835,18.387522799999715,18.387522799999715,0.02597090000017488,1.012373700000353,20.36765849999938,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,6,faces/unknown/unknown_183.jpg,unknown,5,5,0,None,,,0,5,5,5,20.37112249999973,,,,,,,,,20.36778400000003,21.352857399999266,22.090670799999316,22.062219699999332,22.088025999999445,22.090670799999316,22.090670799999316,0.02581449999979668,1.011700000000019,24.07089309999992,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,7,faces/unknown/unknown_193.jpg,unknown,6,6,0,None,,,0,6,6,6,24.074328099999548,,,,,,,,,24.07100629999968,25.056086499999765,25.805848399999377,25.777323799999976,25.803365499999927,25.805848399999377,25.805848399999377,0.026051300000290212,1.0117524000006597,27.777660299999297,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,8,faces/unknown/unknown_18.jpg,unknown,7,7,0,None,,,0,7,7,7,27.786036299999978,,,,,,,,,27.777771799999755,28.770870599999398,29.732134299999416,29.701676899999256,29.72946839999986,29.732134299999416,29.732134299999416,0.027797100000498176,1.0180863000005047,31.704655300000013,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,9,faces/unknown/unknown_236.jpg,unknown,8,8,0,None,,,0,8,8,8,31.71023100000002,,,,,,,,,31.704782400000113,32.69186549999995,33.438106499999776,33.40799169999991,33.43567230000008,33.438106499999776,33.438106499999776,0.02769200000057026,1.017481900000348,35.41396439999971,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
