block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0017569000001458335,0.0069125999998504994,0.0069125999998504994,10.646156800000426,space,10.630636300000333,None,,,,,,,,,,,,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,1,faces/unknown/unknown_158.jpg,unknown,0,0,0,None,,,0,0,0,0,10.65526940000018,,,,,,,,,10.650397999999768,11.64007649999985,12.419387200000529,12.379669800000556,12.409262799999851,12.419387200000529,12.419387200000529,0.02960209999946528,1.0266992999995637,14.387869400000454,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,2,faces/unknown/unknown_227.jpg,unknown,1,1,0,None,,,0,1,1,1,14.391170200000488,,,,,,,,,14.38798020000013,15.373391799999808,16.285452500000247,16.25604889999977,16.282793899999888,16.285452500000247,16.285452500000247,0.02675679999993008,1.0171118999996906,18.258306700000503,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,3,faces/known/known_30.jpg,known,2,2,0,space,0.4082529000006616,0.12015269999938027,0,2,2,2,18.263922099999945,,,,,,,,,18.258425900000475,19.245787900000323,20.021183300000303,20.006782999999814,20.018420500000502,20.021183300000303,20.021183300000303,0.011650099999314989,0.9999539999998888,22.006930900000043,space,22.009514500000478,22.009514500000478,0.4082529000006616,0.12015269999938027,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,4,faces/known/known_40.jpg,known,3,3,0,space,0.6245227999997951,0.12854000000061205,0,3,3,3,22.009514500000478,,,,,,,,,22.00703919999978,22.997140899999977,23.853133900000103,23.838662799999838,23.849454899999728,23.853133900000103,23.853133900000103,0.010794499999974505,0.9982722999993712,25.837046100000407,space,25.839557600000262,25.839557600000262,0.6245227999997951,0.12854000000061205,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,5,faces/unknown/unknown_17.jpg,unknown,4,4,0,None,,,0,4,4,4,25.839557600000262,,,,,,,,,25.837172100000316,26.82739020000008,27.84014930000012,27.80978320000031,27.837411200000133,27.84014930000012,27.84014930000012,0.02764389999993,1.0180373999992298,29.815637000000606,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,6,faces/unknown/unknown_244.jpg,unknown,5,5,0,None,,,0,5,5,5,29.82109339999988,,,,,,,,,29.815869699999894,30.806021200000032,31.803654199999983,31.770953799999916,31.800886099999843,31.803654199999983,31.803654199999983,0.029941800000415242,1.0173156000000745,33.773059600000124,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,7,faces/unknown/unknown_60.jpg,unknown,6,6,0,None,,,0,6,6,6,33.77886469999976,,,,,,,,,33.77318660000037,34.76050420000047,35.47836730000017,35.44627639999999,35.47570160000032,35.47836730000017,35.47836730000017,0.029433799999424082,1.0173393999994005,37.45437430000038,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,8,faces/unknown/unknown_226.jpg,unknown,7,7,0,None,,,0,7,7,7,37.45788080000057,,,,,,,,,37.454493600000205,38.43933710000056,39.36920850000024,39.33957420000024,39.36641250000048,39.36920850000024,39.36920850000024,0.026904999999715073,1.0148563000002468,41.34266680000019,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,9,faces/unknown/unknown_114.jpg,unknown,8,8,0,None,,,0,8,8,8,41.34837630000038,,,,,,,,,41.342773999999736,42.3300006999998,42.972544400000515,42.939953300000525,42.96970190000047,42.972544400000515,42.972544400000515,0.029759500000182015,1.0207968000004257,44.94267959999979,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,10,faces/unknown/unknown_98.jpg,unknown,9,9,0,None,,,0,9,9,9,44.948213300000134,,,,,,,,,44.94279449999976,45.92974430000049,46.81056020000051,46.77888340000027,46.80762760000016,46.81056020000051,46.81056020000051,0.028758299999935844,1.0177896999994118,48.787509200000386,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,11,faces/unknown/unknown_143.jpg,unknown,10,10,0,None,,,0,10,10,10,48.790677300000425,,,,,,,,,48.787631500000316,49.772295400000075,50.42742530000032,50.39689929999986,50.42407610000009,50.42742530000032,50.42742530000032,0.027190199999495235,1.018239099999846,52.40538379999998,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
5,12,faces/unknown/unknown_58.jpg,unknown,11,11,0,None,,,0,11,11,11,52.40865450000001,,,,,,,,,52.40550340000027,53.390752400000565,54.34041350000007,54.31206370000018,54.33771859999979,54.34041350000007,54.34041350000007,0.025668499999483174,1.0123217999998815,56.32067400000051,None,,,,,,,,,101,005,2025-05-09_17h40.41.191,project,2024.2.4,None,2025-05-09 17h40.51.505090 +0700,
