block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.15255309999974997,0.15778560000035213,0.15778560000035213,2.542441300000064,space,2.3773120999994717,None,,,,,,,,,,,,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,1,faces/unknown/unknown_286.jpg,unknown,0,0,0,None,,,0,0,0,0,2.550788499999726,,,,,,,,,2.5485687000000325,3.536280799999986,4.225433200000225,4.168727999999646,4.218001399999594,4.225433200000225,4.225433200000225,0.04929600000014034,1.042935899999975,6.170082399999956,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,2,faces/known/known_11.jpg,known,1,1,0,space,0.9722619999993185,0.20060280000052444,0,1,1,1,6.17417850000038,,,,,,,,,6.1703238999998575,7.157446500000333,8.082874599999741,8.021262600000227,8.079433599999902,8.082874599999741,8.082874599999741,0.058170300000710995,1.0448089999999866,10.024548000000323,space,0.9722619999993185,0.20060280000052444,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,3,faces/known/known_92.jpg,known,2,2,0,space,0.8503631000003224,0.22356330000002345,0,2,2,2,10.028599999999642,,,,,,,,,10.024788800000351,11.007738899999822,11.933000099999845,11.906910800000333,11.925987100000384,11.933000099999845,11.933000099999845,0.019093599999905564,1.0157314000007318,13.907620099999804,space,0.8503631000003224,0.22356330000002345,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,4,faces/known/known_120.jpg,known,3,3,0,space,0.8485499999997046,0.17592549999972107,0,3,3,3,13.911761299999853,,,,,,,,,13.907860899999832,14.894936200000302,15.838554699999804,15.80410000000029,15.835060299999896,15.838554699999804,15.838554699999804,0.030969800000093528,1.0201038999994125,17.807533299999704,space,0.8485499999997046,0.17592549999972107,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,5,faces/unknown/unknown_90.jpg,unknown,4,4,0,None,,,0,4,4,4,17.81160759999966,,,,,,,,,17.807760200000303,18.79100610000023,19.438102699999945,19.391473300000143,19.43134949999967,19.438102699999945,19.438102699999945,0.039879399999335874,1.0309551999998803,21.391853199999787,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,6,faces/unknown/unknown_34.jpg,unknown,5,5,0,None,,,0,5,5,5,21.394977500000095,,,,,,,,,21.39210869999988,22.37857989999975,23.196975199999542,23.141850899999554,23.193789199999628,23.196975199999542,23.196975199999542,0.0519479999993564,1.0407961000000796,25.145072600000276,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,7,faces/unknown/unknown_9.jpg,unknown,6,6,0,None,,,0,6,6,6,25.14918250000028,,,,,,,,,25.14528220000011,26.128920000000107,27.10518669999965,27.05754259999958,27.100582699999904,27.10518669999965,27.10518669999965,0.04305289999956585,1.0314149999994697,29.057795099999566,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,8,faces/unknown/unknown_211.jpg,unknown,7,7,0,None,,,0,7,7,7,29.061960699999872,,,,,,,,,29.058036399999764,30.04493889999958,30.921052300000156,30.862433799999963,30.917472899999666,30.921052300000156,30.921052300000156,0.05506470000000263,1.0449207999999999,32.86619950000022,None,,,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
3,9,faces/known/known_58.jpg,known,8,8,0,space,0.9164816000002247,0.1832420999999158,0,8,8,8,32.870225599999685,,,,,,,,,32.86640710000029,33.84907039999962,34.66665449999982,34.636501599999974,34.65922599999976,34.66665449999982,34.66665449999982,0.02274079999915557,1.0193744999996852,36.636931099999856,space,0.9164816000002247,0.1832420999999158,,,,,,102,003,2025-05-17_14h40.57.329,project,2024.2.4,231.69064665074265,2025-05-17 14h41.07.152874 +0700,
